case_id,gt_et_voxels,small_gt_lesions,baseline_pred_et_voxels,baseline_et_dice,baseline_hd95_mm,baseline_boundary_dice,baseline_boundary_valid,baseline_small_detected_lesions,baseline_small_missed_lesions,baseline_small_gt_anchored_dice,lhfc_pred_et_voxels,lhfc_et_dice,lhfc_hd95_mm,lhfc_boundary_dice,lhfc_boundary_valid,lhfc_small_detected_lesions,lhfc_small_missed_lesions,lhfc_small_gt_anchored_dice,full_pred_et_voxels,full_et_dice,full_hd95_mm,full_boundary_dice,full_boundary_valid,full_small_detected_lesions,full_small_missed_lesions,full_small_gt_anchored_dice,small_detection_gain,small_dice_gain,et_dice_gain,hd95_improvement,boundary_dice_improvement,all_models_boundary_valid,regression_score
BraTS20_Training_018,1695,0,3449,0.6411353032659409,14.89966442575134,0.6606189967982924,True,0,0,,2861,0.6979806848112379,15.470865354614848,0.7573663150236449,True,0,0,,2861,0.6979806848112379,15.29378643894789,0.7580882352941176,True,0,0,,0,,0.05684538154529695,-0.3941220131965508,0.09746923849582523,True,-0.25534781451409144
BraTS20_Training_021,3003,0,6475,0.5944292044735177,3.605551275463989,0.49543914516549387,True,0,0,,5781,0.613615664845173,3.1622776601683795,0.563903743315508,True,0,0,,7435,0.5441655489557387,4.846838554130624,0.41502808988764045,True,0,0,,0,,-0.050263655517779005,-1.241287278666635,-0.08041105527785342,True,1.7636232296732772
BraTS20_Training_026,23676,0,25263,0.7103128384315168,6.4031242374328485,0.5296580970050357,True,0,0,,25226,0.7340804057093779,4.898979485566356,0.6238171132582927,True,0,0,,24261,0.7070947284978201,5.385164807134504,0.590110217456062,True,0,0,,0,,-0.0032181099336967556,1.0179594302983448,0.060452120451026214,True,-0.3250532350906449
BraTS20_Training_030,6149,0,7711,0.7789321789321789,15.112899702493511,0.7344717897204085,True,0,0,,7939,0.7950028392958546,3.375615520268288,0.7858842188739096,True,0,0,,7874,0.7895600085573701,3.4641016151377544,0.7785725639802893,True,0,0,,0,,0.010627829625191154,11.648798087355758,0.04410077425988079,True,-3.4420313552693726
BraTS20_Training_035,24262,1,33776,0.7643957407215962,2.449489742783178,0.7826606245828504,True,0,1,0.0,33488,0.7748225108225109,2.23606797749979,0.8226435390614495,True,0,1,0.0,35109,0.7606407168482929,2.449489742783178,0.7825230852797392,True,0,1,0.0,0,0.0,-0.003755023873303287,0.0,-0.00013753930311111162,True,0.5875958636949318
BraTS20_Training_038,26254,0,25981,0.736938834115057,8.324616783644835,0.7769741697416974,True,0,0,,25938,0.7700413856529736,2.8284271247461903,0.8389445273101783,True,0,0,,26405,0.790899941130671,2.23606797749979,0.8581861783300633,True,0,0,,0,,0.05396110701561396,6.088548806145045,0.08121200858836586,True,-2.0939603641263544
BraTS20_Training_058,6708,0,12968,0.5668835129091279,15.811388300841896,0.527537688442211,True,0,0,,12596,0.5864069622876088,11.74734012447073,0.5768372093023256,True,0,0,,13805,0.5525276653829279,10.954451150103322,0.5380033780780514,True,0,0,,0,,-0.014355847526200005,4.856937150738574,0.01046568963584038,True,-1.0150589430750616
BraTS20_Training_060,16172,0,17983,0.8176840872493046,1.4142135623730951,0.922429435483871,True,0,0,,16994,0.8417053609117772,1.0,0.9579212720573977,True,0,0,,17197,0.8377835715784111,1.0,0.9571755316560416,True,0,0,,0,,0.020099484329106465,0.41421356237309515,0.034746096172170615,True,0.115153416621925
BraTS20_Training_071,11713,0,8951,0.8312040263259776,5.744562646538029,0.7364375461936438,True,0,0,,9337,0.8457957244655582,4.318208553793146,0.7904040404040404,True,0,0,,9194,0.8412493423255369,5.0,0.7712071192765897,True,0,0,,0,,0.010045315999559379,0.7445626465380286,0.034769573082945926,True,0.013041725941710757
BraTS20_Training_089,18581,1,17327,0.9568898295644425,62.808436609048165,0.9269811614510354,True,0,1,0.0,16759,0.945217883418223,62.96943696716623,0.9270693512304251,True,0,1,0.0,16698,0.9446979789676578,62.96943696716623,0.9272863568215892,True,0,1,0.0,0,0.0,-0.012191850596784626,-0.16100035811806634,0.0003051953705538457,True,0.632873562332338
BraTS20_Training_093,24337,1,25450,0.9433386225319863,1.4142135623730951,0.9420902975241001,True,0,1,0.0,25042,0.9523886672472104,1.0,0.9768690349946978,True,1,0,0.05714285714285714,25495,0.9484668486113341,1.4142135623730951,0.9690344873413516,True,0,1,0.0,0,0.0,0.00512822607934782,0.0,0.02694418981725144,True,0.3199906456794126
BraTS20_Training_101,13927,3,13418,0.8324739440482721,6.708203932499369,0.8445336008024072,True,0,3,0.0,12415,0.8684989750208792,6.4031242374328485,0.8893638976929313,True,0,3,0.0,12936,0.8653538324088895,5.916079783099616,0.8915777859507171,True,0,3,0.0,0,0.0,0.03287988836061739,0.7921241493997533,0.04704418514830988,True,-0.12291651855544737
BraTS20_Training_103,37271,0,31757,0.8553050935852118,3.0,0.8421588594704684,True,0,0,,34804,0.899091224419008,2.23606797749979,0.9059312697679377,True,0,0,,33894,0.8935291224618843,2.23606797749979,0.8987938793879388,True,0,0,,0,,0.03822402887667253,0.7639320225002102,0.05663501991747033,True,-0.20899287337925546
