case_id,gt_lesion_id,stratum,gt_voxels,pred_lesion_id,pred_voxels,intersection_voxels,matched_dice,detected,gt_anchored_dice,model
BraTS20_Training_035,1,small,15,,,0,,False,0.0,ResUNet (BCE–Dice)
BraTS20_Training_035,2,large,78754,1,86854,72328,0.8734843727356166,True,0.8734843727356166,ResUNet (BCE–Dice)
BraTS20_Training_089,1,large,68884,1,47010,45731,0.7891866705782871,True,0.7891866705782871,ResUNet (BCE–Dice)
BraTS20_Training_089,2,medium,61448,2,59253,55394,0.9178714343708835,True,0.9178714343708835,ResUNet (BCE–Dice)
BraTS20_Training_058,1,large,91633,1,101046,68848,0.714639374296109,True,0.714639374296109,ResUNet (BCE–Dice)
BraTS20_Training_298,1,medium,45683,1,59554,44821,0.8518106749527258,True,0.8518106749527258,ResUNet (BCE–Dice)
BraTS20_Training_206,1,medium,23430,1,26362,20080,0.8065552699228792,True,0.8065552699228792,ResUNet (BCE–Dice)
BraTS20_Training_206,2,small,25,,,0,,False,0.0,ResUNet (BCE–Dice)
BraTS20_Training_093,1,large,98672,1,103448,97564,0.9654066890955868,True,0.9654066890955868,ResUNet (BCE–Dice)
BraTS20_Training_093,2,small,15,2,44,13,0.4406779661016949,True,0.4406779661016949,ResUNet (BCE–Dice)
BraTS20_Training_323,1,large,232096,1,234019,215538,0.9248275640131727,True,0.9248275640131727,ResUNet (BCE–Dice)
BraTS20_Training_309,1,large,157246,1,125463,124382,0.8799295388544405,True,0.8799295388544405,ResUNet (BCE–Dice)
BraTS20_Training_309,2,small,28,,,0,,False,0.0,ResUNet (BCE–Dice)
BraTS20_Training_030,1,large,98694,1,102897,85488,0.8481331011801122,True,0.8481331011801122,ResUNet (BCE–Dice)
BraTS20_Training_030,2,small,10,,,0,,False,0.0,ResUNet (BCE–Dice)
BraTS20_Training_030,3,small,18,,,0,,False,0.0,ResUNet (BCE–Dice)
BraTS20_Training_030,4,small,40,,,0,,False,0.0,ResUNet (BCE–Dice)
BraTS20_Training_030,5,small,10,,,0,,False,0.0,ResUNet (BCE–Dice)
BraTS20_Training_231,1,large,131989,1,141459,131473,0.9615941604985225,True,0.9615941604985225,ResUNet (BCE–Dice)
BraTS20_Training_071,1,large,143813,1,164948,140605,0.9107691709769045,True,0.9107691709769045,ResUNet (BCE–Dice)
BraTS20_Training_071,2,small,23,,,0,,False,0.0,ResUNet (BCE–Dice)
BraTS20_Training_071,3,small,12,,,0,,False,0.0,ResUNet (BCE–Dice)
BraTS20_Training_071,4,small,11,,,0,,False,0.0,ResUNet (BCE–Dice)
BraTS20_Training_071,5,small,23,,,0,,False,0.0,ResUNet (BCE–Dice)
BraTS20_Training_332,1,medium,43312,2,48439,43308,0.9440333075388824,True,0.9440333075388824,ResUNet (BCE–Dice)
BraTS20_Training_018,1,medium,45118,1,61802,41968,0.7850355405910961,True,0.7850355405910961,ResUNet (BCE–Dice)
BraTS20_Training_112,1,large,170359,1,183538,169581,0.9583635916665019,True,0.9583635916665019,ResUNet (BCE–Dice)
BraTS20_Training_193,1,large,124353,5,123916,112135,0.9033346893893317,True,0.9033346893893317,ResUNet (BCE–Dice)
BraTS20_Training_101,1,large,71734,1,70316,65606,0.9237029215065118,True,0.9237029215065118,ResUNet (BCE–Dice)
BraTS20_Training_101,2,small,16,,,0,,False,0.0,ResUNet (BCE–Dice)
BraTS20_Training_174,1,large,90716,1,96155,90270,0.9661210139615029,True,0.9661210139615029,ResUNet (BCE–Dice)
BraTS20_Training_026,1,large,180618,1,190384,171945,0.9269222268343567,True,0.9269222268343567,ResUNet (BCE–Dice)
BraTS20_Training_223,1,large,148679,1,163010,148364,0.9520002309994898,True,0.9520002309994898,ResUNet (BCE–Dice)
BraTS20_Training_340,1,large,76995,2,80130,75127,0.9562704852824184,True,0.9562704852824184,ResUNet (BCE–Dice)
BraTS20_Training_103,1,medium,58204,1,53100,51502,0.9254294544670452,True,0.9254294544670452,ResUNet (BCE–Dice)
BraTS20_Training_021,1,medium,33080,2,29666,24382,0.7771650782520001,True,0.7771650782520001,ResUNet (BCE–Dice)
BraTS20_Training_060,1,large,87324,1,88661,82264,0.9348978606131204,True,0.9348978606131204,ResUNet (BCE–Dice)
BraTS20_Training_139,1,medium,20450,1,26042,19480,0.8379936333132582,True,0.8379936333132582,ResUNet (BCE–Dice)
BraTS20_Training_139,2,small,32,,,0,,False,0.0,ResUNet (BCE–Dice)
BraTS20_Training_038,1,large,98758,1,109309,92531,0.8894346532607286,True,0.8894346532607286,ResUNet (BCE–Dice)
BraTS20_Training_205,1,medium,31109,1,37784,30924,0.8977399735822217,True,0.8977399735822217,ResUNet (BCE–Dice)
BraTS20_Training_261,1,large,236968,1,251216,231591,0.9487857037510447,True,0.9487857037510447,ResUNet (BCE–Dice)
BraTS20_Training_131,1,medium,60459,1,67171,59067,0.9255974300712998,True,0.9255974300712998,ResUNet (BCE–Dice)
BraTS20_Training_337,1,large,102925,1,104398,100482,0.9693280533274167,True,0.9693280533274167,ResUNet (BCE–Dice)
BraTS20_Training_260,1,medium,49924,1,29031,28048,0.7104806535368248,True,0.7104806535368248,ResUNet (BCE–Dice)
BraTS20_Training_216,1,medium,59679,1,63730,58212,0.9433995899812817,True,0.9433995899812817,ResUNet (BCE–Dice)
BraTS20_Training_216,2,medium,99,,,0,,False,0.0,ResUNet (BCE–Dice)
BraTS20_Training_216,3,medium,569,4,108,66,0.19497784342688332,True,0.19497784342688332,ResUNet (BCE–Dice)
BraTS20_Training_200,1,medium,44771,1,53722,44525,0.9041251662554699,True,0.9041251662554699,ResUNet (BCE–Dice)
BraTS20_Training_200,2,small,13,,,0,,False,0.0,ResUNet (BCE–Dice)
BraTS20_Training_155,1,large,141165,1,151584,139152,0.9506573890944119,True,0.9506573890944119,ResUNet (BCE–Dice)
BraTS20_Training_155,2,medium,116,,,0,,False,0.0,ResUNet (BCE–Dice)
BraTS20_Training_339,1,large,144639,1,146157,132696,0.9126397887178641,True,0.9126397887178641,ResUNet (BCE–Dice)
BraTS20_Training_339,2,medium,497,,,0,,False,0.0,ResUNet (BCE–Dice)
BraTS20_Training_339,3,medium,284,,,0,,False,0.0,ResUNet (BCE–Dice)
BraTS20_Training_339,4,medium,210,,,0,,False,0.0,ResUNet (BCE–Dice)
BraTS20_Training_248,1,large,86671,1,116817,86372,0.8489149237301462,True,0.8489149237301462,ResUNet (BCE–Dice)
BraTS20_Training_248,2,small,10,,,0,,False,0.0,ResUNet (BCE–Dice)
